@relation atributos

@attribute 0 real
@attribute 1 real
@attribute 2 real
@attribute 3 real
@attribute 4 real
@attribute 5 real
@attribute 6 real
@attribute 7 real
@attribute 8 real
@attribute 9 real
@attribute 10 real
@attribute 11 real
@attribute 12 real
@attribute 13 real
@attribute 14 real
@attribute 15 real
@attribute 16 real
@attribute 17 real
@attribute 18 real
@attribute 19 real
@attribute 20 real
@attribute 21 real
@attribute 22 real
@attribute 23 real
@attribute 24 real
@attribute 25 real
@attribute 26 real
@attribute 27 real
@attribute 28 real
@attribute 29 real
@attribute 30 real
@attribute 31 real
@attribute 32 real
@attribute 33 real
@attribute 34 real
@attribute 35 real
@attribute 36 real
@attribute 37 real
@attribute 38 real
@attribute 39 real
@attribute 40 real
@attribute 41 real
@attribute 42 real
@attribute 43 real
@attribute 44 real
@attribute 45 real
@attribute 46 real
@attribute 47 real
@attribute 48 real
@attribute 49 real
@attribute 50 real
@attribute 51 real
@attribute 52 real
@attribute 53 real
@attribute 54 real
@attribute 55 real
@attribute 56 real
@attribute 57 real
@attribute 58 real
@attribute 59 real
@attribute 60 real
@attribute 61 real
@attribute 62 real
@attribute 63 real
@attribute 64 real
@attribute 65 real
@attribute classe {1,2,3}

@data
93338.0,187821.0,226515.0,249752.0,315497.0,352650.0,368371.0,400296.0,420525.0,436098.0,440886.0,453903.0,473637.0,478185.0,499347.0,511628.0,517096.0,524419.0,536514.0,540703.0,546409.0,554707.0,90808.0,169355.0,195188.0,210834.0,256108.0,277689.0,286069.0,304362.0,318295.0,327192.0,329174.0,336401.0,346895.0,349990.0,363400.0,370760.0,373477.0,377624.0,384180.0,385996.0,388633.0,393596.0,89686.0,167951.0,195580.0,212999.0,264241.0,291624.0,303565.0,329270.0,348097.0,361094.0,364654.0,375769.0,392533.0,396712.0,416663.0,427805.0,432559.0,439155.0,449862.0,453355.0,458394.0,466088.0,1
92198.0,181206.0,216151.0,237009.0,297398.0,332732.0,348302.0,379895.0,400808.0,417113.0,422090.0,435818.0,456842.0,461224.0,484279.0,497896.0,503914.0,512019.0,525525.0,530105.0,536497.0,545069.0,87204.0,155294.0,175591.0,187938.0,222361.0,237533.0,243605.0,256469.0,266502.0,272605.0,273809.0,278624.0,285147.0,287486.0,296895.0,301775.0,303327.0,306010.0,310028.0,311020.0,312577.0,315895.0,85614.0,153437.0,176463.0,191105.0,233055.0,254781.0,265081.0,286620.0,301931.0,312453.0,315563.0,324916.0,338526.0,342238.0,359177.0,368375.0,372329.0,377824.0,386719.0,389780.0,394341.0,401257.0,1
87827.0,160858.0,187984.0,203953.0,251853.0,280127.0,293227.0,320374.0,339382.0,354079.0,358498.0,370871.0,390001.0,394347.0,416961.0,429973.0,435671.0,443357.0,456376.0,460712.0,467237.0,475791.0,80822.0,134477.0,149479.0,159129.0,186699.0,199241.0,204697.0,216756.0,226546.0,232570.0,233796.0,238678.0,245454.0,248091.0,258400.0,263710.0,265459.0,268414.0,272855.0,273971.0,275869.0,279879.0,79184.0,133952.0,152200.0,164084.0,198226.0,215852.0,224636.0,243025.0,256190.0,265249.0,267825.0,276047.0,287693.0,291230.0,306503.0,314678.0,318248.0,323139.0,331024.0,333581.0,337677.0,344278.0,1
73331.0,116610.0,132188.0,142328.0,171784.0,188660.0,197520.0,215736.0,228923.0,238746.0,241978.0,250714.0,264186.0,267561.0,284524.0,293872.0,298297.0,303970.0,313702.0,317218.0,322371.0,329478.0,64665.0,91458.0,97937.0,103749.0,118133.0,123848.0,126899.0,133859.0,140102.0,143163.0,143826.0,146746.0,150283.0,152482.0,159184.0,162179.0,163143.0,165061.0,167546.0,168211.0,169275.0,172485.0,62796.0,91428.0,100514.0,108462.0,127235.0,135935.0,141399.0,152267.0,160531.0,165371.0,166832.0,172007.0,178234.0,181288.0,190999.0,195749.0,197678.0,200848.0,205191.0,206678.0,208962.0,214057.0,1
91984.0,184918.0,222617.0,246600.0,311186.0,346220.0,361291.0,391254.0,410509.0,424305.0,428607.0,440802.0,457802.0,462618.0,482042.0,493010.0,497581.0,504424.0,514462.0,517933.0,522693.0,530940.0,91505.0,174048.0,202237.0,219678.0,269827.0,294513.0,304042.0,324638.0,340282.0,350603.0,352781.0,360870.0,372681.0,375995.0,390708.0,399057.0,402087.0,406629.0,413903.0,415863.0,418684.0,424015.0,90732.0,172779.0,202655.0,221592.0,277719.0,308261.0,321228.0,349301.0,369825.0,384156.0,387981.0,399787.0,417835.0,422240.0,443405.0,455394.0,460377.0,467159.0,478439.0,481914.0,487081.0,494903.0,1
91703.0,180845.0,215994.0,237158.0,297089.0,330942.0,345785.0,375679.0,395280.0,410066.0,414546.0,427052.0,445486.0,449789.0,470552.0,482425.0,487617.0,494671.0,506079.0,510083.0,515602.0,523548.0,88385.0,159964.0,182181.0,195827.0,234652.0,252384.0,259670.0,275144.0,287161.0,294610.0,296142.0,302188.0,310456.0,313327.0,324961.0,331200.0,333322.0,336920.0,342313.0,343624.0,345836.0,350357.0,87110.0,158529.0,183211.0,199093.0,244815.0,268953.0,279892.0,303185.0,320335.0,332054.0,335254.0,345347.0,359990.0,364192.0,382947.0,393275.0,397437.0,403547.0,413199.0,416178.0,421021.0,428672.0,1
87926.0,164446.0,193499.0,210779.0,260708.0,289948.0,303411.0,330923.0,349517.0,364028.0,368495.0,380745.0,399526.0,403663.0,425389.0,437900.0,443458.0,450876.0,463445.0,467666.0,474020.0,482172.0,80291.0,133745.0,148628.0,158304.0,184377.0,195436.0,200187.0,210549.0,218733.0,223563.0,224531.0,228523.0,233924.0,236129.0,244358.0,248581.0,249932.0,252352.0,255976.0,256903.0,258409.0,261651.0,78296.0,131732.0,149363.0,161270.0,194084.0,210703.0,219258.0,237090.0,249660.0,258224.0,260824.0,268729.0,279918.0,283530.0,298319.0,306173.0,309548.0,314276.0,321922.0,324521.0,328692.0,335232.0,1
79955.0,134671.0,154088.0,166502.0,202678.0,223000.0,233133.0,254428.0,270012.0,281364.0,284889.0,294586.0,309675.0,313503.0,332485.0,342872.0,347709.0,353795.0,364368.0,368062.0,373638.0,381054.0,72766.0,110766.0,120469.0,128152.0,148137.0,156384.0,160370.0,169644.0,177553.0,181746.0,182654.0,186342.0,191243.0,193638.0,201889.0,205696.0,207019.0,209279.0,212617.0,213537.0,215094.0,218666.0,71076.0,110573.0,123032.0,132839.0,157931.0,169837.0,176657.0,190815.0,201529.0,207982.0,209922.0,216349.0,224809.0,228165.0,240583.0,246723.0,249319.0,253201.0,258981.0,261078.0,264218.0,269912.0,1
90073.0,178394.0,214073.0,237901.0,297845.0,329744.0,343244.0,370620.0,387555.0,399538.0,403286.0,413672.0,428178.0,433186.0,449714.0,458954.0,462826.0,468676.0,477267.0,480188.0,484189.0,491937.0,90575.0,170535.0,198016.0,214905.0,263166.0,286759.0,296023.0,315759.0,330715.0,340595.0,342824.0,350893.0,362830.0,366109.0,380990.0,389501.0,392732.0,397527.0,405299.0,407470.0,410640.0,416201.0,89967.0,169819.0,198613.0,217019.0,270118.0,298621.0,310656.0,336543.0,355661.0,369143.0,372681.0,383778.0,400778.0,404951.0,425117.0,436725.0,441537.0,448148.0,459152.0,462556.0,467538.0,475058.0,1
93055.0,183439.0,218767.0,239349.0,298580.0,332149.0,346906.0,376778.0,396644.0,411810.0,416453.0,429204.0,448466.0,452674.0,474195.0,486621.0,492160.0,499575.0,511706.0,515971.0,521866.0,529992.0,89325.0,160958.0,182525.0,195863.0,233451.0,250556.0,257390.0,272389.0,284290.0,291724.0,293294.0,299143.0,307604.0,310391.0,321944.0,328194.0,330386.0,333794.0,339232.0,340619.0,342804.0,347148.0,87980.0,159119.0,183153.0,198550.0,242810.0,265982.0,276494.0,299160.0,315992.0,327464.0,330648.0,340259.0,354721.0,358664.0,376835.0,386686.0,390908.0,396614.0,406037.0,409157.0,413900.0,420955.0,1
